ID NerdMonster,ID Parceiro,Nome,Nome,Endereço,Número,Complemento,Bairro,CEP,Cidade,Estado,Latitude,Longitude,Descrição,Telefone,Website,Horários - Domingo,Horários - Segunda-Feira,Horários - Terça-Feira,Horários - Quarta-Feira,Horários - Quinta-Feira,Horários - Sexta-Feira,Horários - Sábado,Categoria,Última atualização
10775,Carrefour Tucuruvi,Carrefour Hipermercado Tucuruvi,Carrefour Tucuruvi - Carrefour Hipermercado Tucuruvi,"Avenida Tucuruvi, 248",,,Tucuruvi,02304-000,São Paulo,SP,"-23,47872","-46,60877","A comodidade de resolver tudo em um só lugar, de fácil acesso e com os melhores preços. O Carrefour Hiper é um complexo multisserviços, onde você encontra mercado, açougue, padaria, confeitaria, peixaria, corredor de saudáveis e produtos de higiene, além dos setores de eletro, têxtil, telefonia, pet, autos, casa e decoração, reunidos sob um único espaço que conta ainda com drogaria, alameda de serviços e praça de alimentação. Para quem opta por ir de carro, um amplo estacionamento com posto de combustíveis integrado completa a estrutura.",(11) 2997-1100,http://www.carrefour.com.br,08:00-22:00,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,Hipermercado,16/04/2021 16:40
17257,115,Carrefour Hipermercado Aricanduva,SPR - Hiper - Aricanduva,Avenida Rio das Pedras,555,,Jardim Aricanduva,03453-000,São Paulo,SP,"-23,5671139","-46,5109739",Devido à pandemia de Coronavírus (COVID-19) essa unidade está atuando com um horário de atendimento exclusivo para idosos (a partir de 60 anos): das 06:30h às 07:30h ,(11) 2100-4403,https://www.carrefour.com.br/localizador-de-lojas,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,Hipermercado,17/04/2021 14:06
17258,132,Carrefour Hipermercado Butantã,SPB - Hiper - Butantã,Avenida Professor Francisco Morato,2718,,Butantã,05512-300,São Paulo,SP,"-23,5846118","-46,7251668",Devido à pandemia de Coronavírus (COVID-19) essa unidade está atuando com um horário de atendimento exclusivo para idosos (a partir de 60 anos): das 07h às 08h ,(11) 3723-4518,https://www.carrefour.com.br/localizador-de-lojas,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,Hipermercado,17/04/2021 14:06
17261,122,Carrefour Hipermercado Imigrantes,SPS - Hiper - Imigrantes,Rua Ribeiro Lacerda,940,,Imigrante,04150-000,São Paulo,SP,"-23,6174993","-46,625978",Devido à pandemia de Coronavírus (COVID-19) essa unidade está atuando com um horário de atendimento exclusivo para idosos (a partir de 60 anos): das 06:30h às 07:30h ,(11) 5067-6735,https://www.carrefour.com.br/localizador-de-lojas,08:00-21:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,Hipermercado,17/04/2021 14:03
17262,126,Carrefour Hipermercado Tamboré,Hiper - Tamboré - Piracema,Avenida Piracema,669,669,Tamboré,06460-930,São Paulo,SP,"-23,5048896","-46,8326971",,(11) 4689-3499,https://www.carrefour.com.br/localizador-de-lojas,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,Hipermercado,16/04/2021 15:54
17265,117,Carrefour Hipermercado Ribeirão Shopping,RPS - Hiper - Ribeirão Shopping,Avenida Coronel Fernando Ferreira Leite ,1540,,Jardim California,14026-020,Ribeirão Preto,SP,"-21,2119833","-47,815878","A comodidade de resolver tudo em um só lugar, de fácil acesso e com os melhores preços. O Carrefour Hiper é um complexo multisserviços, onde você encontra mercado, açougue, padaria, confeitaria, peixaria, corredor de saudáveis e produtos de higiene, além dos setores de eletro, têxtil, telefonia, pet, autos, casa e decoração, reunidos sob um único espaço que conta ainda com drogaria, alameda de serviços e praça de alimentação. Para quem opta por ir de carro, um amplo estacionamento com posto de combustíveis integrado completa a estrutura.",(19) 3913-9959,https://www.carrefour.com.br/localizador-de-lojas,06:00-21:00,06:00-21:00,06:00-21:00,06:00-21:00,06:00-21:00,06:00-21:00,06:00-21:00,Hipermercado,23/06/2021 08:37
17267,396,Carrefour Hipermercado Casa Verde,BCV - Hiper - Casa Verde,Rua Marambaia,200,,Casa Verde,02513-000,São Paulo,SP,"-23,5134299","-46,6549922",Devido à pandemia de Coronavírus (COVID-19) essa unidade está atuando com um horário de atendimento exclusivo para idosos (a partir de 60 anos): das 07h às 08h ,(11) 3952-2500,https://www.carrefour.com.br/localizador-de-lojas,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,Hipermercado,09/09/2020 15:17
17268,391,Carrefour Hipermercado Tatuapé Celso Garcia,BTA - Hiper - Tatuapé Celso Garcia,Avenida Salim Farah Maluf,S/N,,Tatuapé,03076-000,São Paulo,SP,"-23,5362224","-46,5819258","A comodidade de resolver tudo em um só lugar, de fácil acesso e com os melhores preços. O Carrefour Hiper é um complexo multisserviços, onde você encontra mercado, açougue, padaria, confeitaria, peixaria, corredor de saudáveis e produtos de higiene, além dos setores de eletro, têxtil, telefonia, pet, autos, casa e decoração, reunidos sob um único espaço que conta ainda com drogaria, alameda de serviços e praça de alimentação. Para quem opta por ir de carro, um amplo estacionamento com posto de combustíveis integrado completa a estrutura.",(11) 2090-6190,https://www.carrefour.com.br/localizador-de-lojas,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,Hipermercado,16/04/2021 15:55
17271,105,Carrefour Hipermercado Campinas,CPS - Hiper - Campinas,"Rodovia Dom Pedro, km 127/128",S/N,,Jardim Nilópolis,13097-670,Campinas,SP,"-22,8458958","-47,0341889","A comodidade de resolver tudo em um só lugar, de fácil acesso e com os melhores preços. O Carrefour Hiper é um complexo multisserviços, onde você encontra mercado, açougue, padaria, confeitaria, peixaria, corredor de saudáveis e produtos de higiene, além dos setores de eletro, têxtil, telefonia, pet, autos, casa e decoração, reunidos sob um único espaço que conta ainda com drogaria, alameda de serviços e praça de alimentação. Para quem opta por ir de carro, um amplo estacionamento com posto de combustíveis integrado completa a estrutura.",(19) 3707-4700,https://www.carrefour.com.br/localizador-de-lojas,05:00-21:00,05:00-21:00,05:00-21:00,05:00-21:00,05:00-21:00,05:00-21:00,05:00-21:00,Hipermercado,15/05/2021 12:05
17282,127,Carrefour Hipermercado Valinhos,CPV - Hiper- Valinhos,Avenida Engenheiro Antônio Francisco de Paula Souza,3900,,Jardim Antonio Von Zuben,13044-370,Valinhos,SP,"-22,9519672","-47,0283545","A comodidade de resolver tudo em um só lugar, de fácil acesso e com os melhores preços. O Carrefour Hiper é um complexo multisserviços, onde você encontra mercado, açougue, padaria, confeitaria, peixaria, corredor de saudáveis e produtos de higiene, além dos setores de eletro, têxtil, telefonia, pet, autos, casa e decoração, reunidos sob um único espaço que conta ainda com drogaria, alameda de serviços e praça de alimentação. Para quem opta por ir de carro, um amplo estacionamento com posto de combustíveis integrado completa a estrutura.",(19) 3776-7000,https://www.carrefour.com.br/localizador-de-lojas,05:00-21:00,05:00-21:00,05:00-21:00,05:00-21:00,05:00-21:00,05:00-21:00,05:00-21:00,Hipermercado,15/05/2021 12:26
